function_name	segment	start	length	locals	args_count	R	F	L	M	O	S	B	T	=	X
Clear_XMS_Trans_Table	seg030	000001DA	0000000E	00000002		R	.	.	.	.	.	.	.	.	.
DOS_CloseFile	seg028	0000004B	00000018	00000002	00000004	R	F	.	.	.	.	B	T	.	.
DOS_CreateFile	seg028	00000006	00000023	00000002	00000008	R	F	.	.	.	.	B	T	.	.
DOS_OpenFile	seg028	00000029	00000022	00000002	00000008	R	F	.	.	.	.	B	T	.	.
DOS_ReadFile_toBuf	seg028	000000DF	00000028	00000002	0000000C	R	F	.	.	.	.	B	T	.	.
DOS_ReadFile_toSeg	seg028	000000B2	0000002D	00000002	0000000C	R	F	.	.	.	.	B	T	.	.
DOS_SeekFile_Absolute	seg028	00000107	00000023	00000002	00000008	R	F	.	.	.	.	B	T	.	.
DOS_WriteFile_fromBuf	seg028	0000008D	00000025	00000002	0000000C	R	F	.	.	.	.	B	T	.	.
DOS_WriteFile_fromSeg	seg028	00000063	0000002A	00000002	0000000C	R	F	.	.	.	.	B	T	.	.
DOS_openfile	seg002	00002F01	00000013			R	.	.	.	.	.	.	.	.	.
DeRLE	seg024	0000000C	000003E8	00000012	00000010	R	F	.	.	.	.	B	T	.	.
DeRLE_Brighter	seg014	00000000	00000420	00000014	00000014	R	F	.	.	.	.	B	T	.	.
DeRLE_Shadow	seg016	00000006	00000398	00000012	00000010	R	F	.	.	.	.	B	T	.	.
DeRLE_filtered	seg015	00000000	00000436	00000014	00000014	R	F	.	.	.	.	B	T	.	.
DeRLE_scanline	seg025	00000002	0000045B	00000028	0000001C	R	F	.	.	.	.	B	T	.	.
DeYJ_1	seg026	0000042A	0000019C	00000002	00000008	R	F	.	.	.	.	B	T	.	.
DrawFont	seg013	00000000	00000340	0000000A	0000001C	R	F	.	.	.	.	B	.	.	.
ENTER_	seg002	000028D5	00000055	00000000		R	F	.	.	.	.	B	.	.	.
ERR_OSS	seg002	00001615	00000006	00000002		R	F	.	.	.	.	B	.	.	.
EnemyClearPoison_Status	seg001	0000043F	0000005F	00000014	00000004	R	F	.	.	.	.	B	.	.	.
FadeInOrOut_internal	seg001	00008126	000000E2	00000022	00000004	R	F	.	.	.	.	B	.	.	.
FadeInPic_imp	seg001	0000BCDE	00000249	0000002C	00000008	R	F	.	.	.	.	B	.	.	.
Final_Stage_imp	seg001	0000C79A	00000302	00000040		R	F	.	.	.	.	B	.	.	.
Free_XMSes	seg001	0000F7D9	000000F7	00000000		R	F	.	.	.	.	B	.	.	.
GameLoop_OneCycle	seg001	0000B602	000004C4	00000038	00000004	R	F	.	.	.	.	B	.	.	.
Generate_16Word_Mask	seg011	00000000	0000002C	00000002	00000008	R	F	.	.	.	.	B	T	.	.
GetNextRnd	seg002	00000FF5	00000045	00000002		R	.	L	.	.	.	.	.	.	.
GetSubChannelData	seg003	00000F60	0000008E			R	.	.	.	.	.	.	.	.	.
GetThisTrackMSF	seg003	0000105E	0000004A			R	.	.	.	.	.	.	.	.	.
Get_Bit_Masked	seg011	0000002C	0000001B	00000002	0000000C	R	F	.	.	.	.	B	T	.	.
Get_EventObject_for_currScene	seg001	0000AEE0	000000BB	0000001A	00000004	R	F	.	.	.	.	B	.	.	.
Get_track_attr	seg003	000010A8	00000057			R	.	.	.	.	.	.	.	.	.
IRQ_handle_fm?	seg022	0000076F	0000004D	00000012		R	F	.	.	.	.	.	.	.	.
Init_Dataseg_Stack	seg002	00001B34	00000038	00000008		R	.	.	.	.	.	.	.	.	.
Inits	seg002	00001A99	0000001D			R	.	.	.	.	.	.	.	.	.
LevelUp_internal	seg001	00009EF6	0000035E	00000024	00000008	R	F	.	.	.	.	B	.	.	.
LoadRPG_internal	seg001	0000AAD8	00000405	0000004A	00000004	R	F	.	.	.	.	B	.	.	.
LoadUnloadMedia	seg003	0000126C	0000005C			R	.	.	.	.	.	.	.	.	.
Load_Data	seg000	0000EAFD	0000015A	0000001A		R	F	.	.	.	.	B	.	.	.
Load_system_files	seg000	0000C412	0000050C	0000007C		R	F	.	.	.	.	B	.	.	.
NPC_walk_one_step	seg001	0000B4A3	0000015C	00000016	00000006	R	F	.	.	.	.	B	T	.	.
Open_File	seg001	0000BF74	000000E8	00000022	00000006	R	F	.	.	.	.	B	T	.	.
Parse_key	seg027	000001EC	00000039	00000002	00000008	R	F	.	.	.	.	B	.	.	.
ReadFile_toseg	seg001	0000A86C	000000AA	0000001E	00000006	R	F	.	.	.	.	B	T	.	.
Read_subfile_to_glb_1	seg001	0000A6A8	00000077	0000001A	00000006	R	F	.	.	.	.	B	.	.	.
Redraw_Tiles_or_Fade_to_pic	seg000	0000CF98	00000125	00000018		R	F	.	.	.	.	B	.	.	.
RollPicture_Imp	seg001	0000BAC9	00000212	0000002A	00000008	R	F	.	.	.	.	B	.	.	.
STRCPY	seg002	00000B76	00000024	00000006		R	F	.	.	.	.	.	.	.	.
STRINGADDRESS	seg002	000008EE	00000012	00000002	00000002	R	F	L	.	.	.	B	.	.	.
STRINGASSIGN	seg002	0000146C	00000057	00000002	0000000C	R	F	L	.	.	.	B	T	.	.
STRINGLENGTH	seg002	00000900	0000003E	00000002	00000002	R	F	L	.	.	.	B	.	.	.
STRINGRELEASE	seg002	0000158F	0000002C	00000002	00000002	R	F	L	.	.	.	B	.	.	.
SaveRPG_internal	seg001	0000CFAB	000003D9	00000048	00000004	R	F	.	.	.	.	B	.	.	.
ShakeScreen	seg001	000083DD	00000064	00000016		R	F	.	.	.	.	B	.	.	.
UseItem_internal	seg001	0000820B	00000130	00000016	00000006	R	F	.	.	.	.	B	.	.	.
Video_Func	seg012	000000C2	00000011	00000002	00000004	R	F	.	.	.	.	B	.	.	.
WaitForKey_internal	seg001	00009E32	00000049	00000014		R	F	.	.	.	.	B	.	.	.
XMS_Alloc_Block	seg030	000000F1	00000021	00000002	00000008	R	F	.	.	.	.	B	T	.	.
XMS_CopyBlockFromXMS	seg030	000001E8	0000004F	00000002	0000000C	R	F	.	.	.	.	B	T	.	.
XMS_CopyBlockFromXMS_toAddr	seg030	00000237	00000059	00000002	00000010	R	F	.	.	.	.	B	T	.	.
XMS_CopyBlockToXMS	seg030	00000131	0000004F	00000002	0000000C	R	F	.	.	.	.	B	T	.	.
XMS_CopyBlockToXMS_byOffset	seg030	00000180	0000005A	00000002	00000010	R	F	.	.	.	.	B	T	.	.
XMS_Free_Block	seg030	00000112	0000001F	00000002	00000004	R	F	.	.	.	.	B	.	.	.
XMS_Init	seg030	0000009A	00000034	00000002	00000004	R	F	.	.	.	.	B	T	.	.
XMS_Lock_Block	seg030	00000290	00000023	00000002	00000008	R	F	.	.	.	.	B	.	.	.
XMS_Query_Amount	seg030	000000CE	00000023	00000002	00000004	R	F	.	.	.	.	B	T	.	.
XMS_Unlock_Block	seg030	000002B3	0000001B	00000002	00000004	R	F	.	.	.	.	B	.	.	.
